Auckland,Avondale,Total,Total,161.4634146,167.6226415,171.4912281,171.0344828,176.6666667,179.5901639,187.1518987,196.4363636,196.8928571,219.9295775,221.8313953,235.1639344,239.7349398,245,260.631068,247.6219512,254.7988506,250.8255814,249.7093023,237.721519,239.3278689,235.8673469,245.1176471,231.0784314,230.4059406,236.3232323,223.2622881,227.6442308,229.920354,233.6363636,233.1196581,231.7094017,238.9542484,241.5357143,232.8019802,246.1860465,246.1447368,251.4855769,278.7195122,270.2268908,287.5968992,298.7096774,292.4778761,292.8828829,305,298.4678899,295.372549,296.962963,307.4561404,313.9781022,290.5555556,313.5333333,301.031746,314.8644068,300.5357143,304.0340909,324.1666667,309.7029703,323.3358779,322.2954545,349.4042553,327.9212598,350.7286822,323.6885246,337.4409449,331.3178295,345.4,341.8640777,344.037037,351.4672131,355.5578947,351.969697,363.6055046,364.3661972,370.7769608,391.3,387.6548673,418.4862385,406.1637931,377.3842593,409.4642857,394.25,400.0990099,415.4596774,412.8318584,431.6363636,437.0618557,433.1829268,453.93
Auckland,Balmoral,Total,Total,198.3253012,198.4817073,206.9411765,201.8831169,200.0581395,232.3484848,220.6086957,234.5492958,230.1066667,241.8142857,259.0095238,296.6095238,273.1382979,277.6346154,271.6666667,277.2702703,286,285.875,278.1924138,305.245098,270.456,291.3963964,264.8,285.7258065,264.7384615,284.078125,279.7983871,264.8320161,290.6928571,280.1666667,282.1875,281.7925926,295.87,282.1214953,263.7209302,293.5343511,308.0555556,329.0869565,318.412844,314.4166667,367.9435484,373.25,345.377193,349.6846847,360.0746269,354.5754717,347.8421053,335.9583333,367.1052632,334.3064516,350.8938053,391.25,371.8319328,410,370.0485437,359.79,396.5373134,387.815534,382.5333333,392.5,410.8045977,423.3898305,391.7988506,416.1340206,434.1954023,425.25,411.0588235,409.9462366,439.3916667,443.75,453.2758621,465.2808989,447.654321,493.3950617,473.3691765,495.8513514,467.6315789,481.3265306,491.4507042,473.4659091,494.7979798,500.7849462,515.9444444,487.2195402,529.8867925,522.4193548,534.5959596,532.6190476,566.2616822
Auckland,Blockhouse Bay/New Windsor,Total,Total,184.8695652,182.8804348,193.75,176.25,198.2267442,203.968254,210.6428571,202.7586207,213.8194444,228.7333333,258.0833333,255.7638889,267.3033708,272.8947368,272.0212766,276.4942529,280.9059406,287.6666667,273.9285714,263.2882883,265.2061856,268.7946429,263.1967213,256.9117647,258.4234234,250.797619,245.6302521,249.6601942,261.4351852,252.029703,251.9444444,252.2045455,258.51,265.3608247,257.7826087,258.0978261,273.2383178,285.7941176,302.4404762,311.2323232,324.6023622,315.3284314,322.7952756,312.7614679,323.3125,337.9807692,305.4255319,315.35,312.2617925,326.1479167,317.3583333,324.6292135,321.6666667,321.25,312.5438144,319.494382,327.5840187,328.3428571,331.6709259,346.9550562,353.9883721,362.0416667,350.9223301,359.6444954,359.4285714,354.0841121,345.3163265,362.4675926,365.45,403.0985915,388.9292035,381.4074074,402.2410714,410.5376344,409.923913,410.1935484,413.0640244,412.5054945,415.6372549,422.9166667,448.9553571,438.515625,442.156746,458.3111111,443.5818182,466.9090909,453.7826087,479.2777778,486.3076923
Auckland,Central East,Total,Total,280.1855172,260.7692308,297.5,274.1666667,306.4047826,282.037037,309.4607843,288.4210526,343.4647887,318.4761905,317.3684211,341.9298246,334.2142857,361.042735,366.7096774,341.95,343.6057692,347.0496894,342.3545455,336.5384615,316.4705882,308.8842975,327.2953254,303.8366337,299.0033223,294.3554688,313.3464286,302.2803347,294.2172285,302.5219298,304.9538023,308.0038168,298.9919355,312.3962264,325.6968641,343.0733216,330.4251316,376.2585911,381.5163223,365.5880399,357.1121718,380.5984142,366.2605042,356.7369355,353.9774859,340.3318182,341.3543441,337.6558891,319.1897081,333.1666667,319.7592955,315.5657371,311.2711864,316.985444,303.2285223,318.3730469,321.2372549,324.2981283,332.6331593,329.497058,330.6150818,342.6852332,345.8217054,344.1241265,331.7676316,339.3710125,336.2355316,337.6764706,336.4650485,337.4015385,341.2883663,351.6288952,350.4401583,371.6425121,382.9439528,375.5612472,376.3748674,398.8515873,384.338177,376.3270677,381.2059211,387.8373752,386.1451876,383.6509275,387.6710817,399.5032051,392.9109792,413.7802607,415.7451097
Auckland,Central West,Total,Total,326,251.5,255.8461538,260,307.0543478,372.75,350.7446809,363.6309524,348.1132075,359.3181818,377.5568182,376.1551485,368.503937,356.447438,372.8246753,391.1654135,381.3980263,389.8943662,382.4161074,397.3787879,344.0048125,350.3846154,339.755102,331.8927647,332.4524887,318.4304933,351.2366029,357.3397129,339.39819,336.2850467,304.6735395,321.0547445,322.1864952,319.1128731,337.9377289,361.5820313,351.7459547,374.5,363.5665529,380.2407407,371.7121902,391.0335821,363.8859935,367.9155172,339.0680851,329.9197397,338.2359712,336.0962702,329.0083752,335.2693727,325.0944272,305.2503536,306.030288,309.4901915,307.1581226,309.3527005,312.7613909,312.5034578,317.5995138,321.1603072,316.8029115,330.450654,336.4942085,331.8746645,331.6977136,328.6141636,331.3451935,327.9378981,332.7116858,325.9847403,343.874508,345.2056338,341.4623323,372.5456026,376.1319728,365.5293739,371.9978402,382.0214592,375.255814,372.5297114,377.8888889,393.2688742,391.5501393,386.6637427,395.2865079,393.4077961,398.5969739,409.4953416,423.2273973
Auckland,Eden Terrace,Total,Total,225.7142857,192.8571429,194.2857143,234.1666667,235.3846154,281.4814815,266.2068966,282.6,317.2727273,330.3191489,322.3809524,297.03125,317.0689655,314.6153846,265.2777778,342.5,326.1538462,316.6666667,329.1935484,303.7272727,309.7115385,298.2954545,309.3518519,298.030303,292.1698113,327.2727273,303.2352941,293.2830189,303.3787879,298.1451613,306.5441176,293.4615385,305.2666667,316.641791,307.4,324.3571429,297.5964912,348.1016949,313.9122807,354.9166667,368.202381,375.1830986,364.3125,369.7758621,334.2056075,343.1075269,315.8723404,331.5671642,326.8222222,334.4047619,335.7317073,327.704918,325.0224719,357.3411765,324.5595238,333.2048193,354.2035398,362.2222222,362.1824324,354.5113043,377.1666667,373.8888889,362.8039216,371.3302752,380.1896552,380.6435644,342.8222222,369.7126437,376.1065574,394.1111111,393.7352941,352.2323232,395,410.6206897,405.127907,410.5223881,441.5686275,429.0707071,401.5818182,395.7236842,441.2380952,416.6752137,379.6842105,460.1744186,420.8510638,469.4285714,440.3876404,452.9761905,472.5263158
Auckland,Ellerslie,Total,Total,190.6260494,183.875,188.7368421,194.3925234,189.3814433,203.0128205,203.1176471,213.8172043,216.5164835,225.3461538,231.6111111,247.2846067,251.8118812,265.915493,275.8695652,281.5121951,261.9902913,282.3333333,286,264.8272727,271.4876543,268.495935,264.2391304,253.0165289,260.0277778,263.984,277.5,264.5419847,257.3851351,260.2229299,269.9887919,264.704918,262.1042945,258.9794521,249.3243243,269.7076923,268.0780347,282.3225806,291.384,300.8776978,317.3809524,316.2866242,314.5165563,320.1145038,311.9576271,327.2357724,321.0373134,320.7230769,338.6808511,321.2230216,323.1966102,308.3274336,340.5925926,342.6774194,336.3709677,348.7029703,358.1102362,376.2142857,372.4553571,393.7623762,384.6788991,395.4836601,385.0446429,367.0866142,408.1512605,413.1196581,401.7156863,402.2571429,367.1875,410.0288462,413.828125,374.1136364,415.1313131,418.7378641,441.5047619,435.7317073,401.9911504,462.3737374,458.8990826,449.1875,455.6796117,434.4949495,463.5416667,459.279661,465.7079646,492.88,484.8989899,480.7282609,490.3608247
Auckland,Epsom,Total,Total,231.9714286,240.0735294,215.9936709,248.0872483,247.244898,246.8782051,266.809816,272.3643411,266.497006,273.7837838,294.3513514,300.0276243,305.5851064,329.6176471,307.0051282,301.4491892,316.2820513,327.1410256,318.6770833,290.2272727,302.6816143,299.9148936,291.872973,270.1577679,301.6009852,276.3945946,289.6564103,308.6842105,312.7189189,310.516129,313.8,294.3842105,319.8574561,301.1079545,315.8967391,332.6153846,329.0906593,349.8447205,379.6060606,377.8525641,409.2060606,385.7246377,411.8681319,410.1722222,403.5057471,383.6225166,369.9157303,425.7741935,409.5663576,389.5302013,377.2701149,390.6967213,397.8023256,392.4251969,408.4,422.0077519,417.5,424.8550725,429.5899281,456.25,466.4887218,476.8,461.9586207,458.0763359,460.238806,423.2,464.5357143,450,526.9482,502.4203822,486.9428571,476.7931034,504.9637681,364.4611399,508.9936306,448.943038,490.7417582,481.6871166,484.7640449,486.1620112,545.9308511,479.3712575,458.7037989,486.548913,550.0558659,500.4666667,494.1450777,549.6333333,553.0864198
Auckland,Glen Innes/Pt England/Wai O Taiki,Total,Total,153.375,177.4705882,175.12,180.5,200.6521739,188.4375,197.804878,211.9444444,233.4516129,220.1851852,229.8484848,251.5625,248.3333333,257.8571429,269.7142857,266.8181818,258.3333333,270.7017544,256.6346154,268.7,255.9756098,248.9148936,251.5178571,278.0232558,244.2439024,266.0677966,249.7727273,254.8,251.4285714,254.0444444,247.3333333,235.4901961,251.3414634,245.0666667,246.1944444,267.3170732,273.175,292.0188679,292.6829268,300.6341463,313.3653846,322.4390244,314.9019608,308.3035714,311.6,316.5740741,302.5,309.1186441,328.5,315.1346154,324.7435897,322.1730769,337.0652174,328.1777778,331.969697,323.875,346.6190476,344.921875,346.5862069,357.5,360.8510638,366.40625,379.7115385,367.1875,347.6041667,387.0943396,363.9795918,375.9302326,348.4782609,397.2222222,372.2972973,365.3448276,386,407.1428571,384.8863636,394.1935484,408.4210526,428.7837838,430.3125,443.90625,418.1,435.1162791,452.2857143,458.8095238,478.3478261,437.2916667,481.25,470.8823529,510.2702703
Auckland,Grey Lynn/Arch Hill,Total,Total,208.4722222,209.6794872,224.5352941,229.0322581,259.85,233.0434783,247.398125,269.6153846,269.322439,283.34,265.2427184,281.9958586,298.8324074,322.4995283,326.8991597,294.1509434,312.7255639,336.4160839,328.6220472,341.3171141,324.4558824,331.9220779,302.3651685,300.3521127,315.8253968,307.1544944,293.2157895,318.75,315.8379888,315.7803468,311.7853107,309.132948,325.6722222,328.5428571,325.361809,341.5053476,351.5609677,363.8924051,357.2670807,391.6453488,383.6479592,404.1111111,388.1791045,394.3413174,382.4723618,391.566092,407.9090909,393.2941176,396.8387097,410.0597015,410.2108434,408.2594937,392.9583333,412.6069519,410.0617647,413.8088235,389.1060606,422.3478261,422.7840909,418.2317073,436.1258278,447.8247126,449.9428571,447.2272727,431.4814815,466.8367347,451.122093,439.8816568,438.2485876,485.0532544,472.2302158,463.3333333,473.864,477.6572327,516.9027778,534.5895522,537.0261438,544.0246914,516.8113208,515.2378814,556.057971,535.8767123,502.0285714,484.9280576,532.6946108,525.8758621,515.4615385,575.3464567,551.1347518
